ItemNumber,hasLiveCADDrawing
77145720,Y
77145860,Y
67466367,Y
67466409,Y
77145845,Y
77145738,Y
67466607,Y
67466284,Y
67466482,Y
77145829,Y
77145886,Y
77145878,Y
67466524,Y
67466441,Y
77145779,Y
67466326,Y
77145753,Y
77145787,Y
77145811,Y
77145795,Y
67466243,Y
77145761,Y
77145852,Y
77145746,Y
67466565,Y
77145837,Y
41851619,Y
41852187,Y
41851460,Y
77124451,Y
41851262,Y
41851593,Y
41852658,Y
77124428,Y
77124493,Y
41852393,Y
41852344,Y
41851403,Y
41852492,Y
67604306,Y
41851270,Y
41852591,Y
41852641,Y
41851478,Y
41851288,Y
41852609,Y
41852328,Y
41851577,Y
41852682,Y
77124550,Y
41851510,Y
41852450,Y
41852476,Y
41852310,Y
41852500,Y
41851338,Y
41851254,Y
41851494,Y
77125748,Y
41852617,Y
41851585,Y
77124519,Y
41852443,Y
41852559,Y
41851429,Y
41851379,Y
41851627,Y
77124535,Y
41851387,Y
41851536,Y
41852716,Y
41852195,Y
41852567,Y
41852260,Y
77125789,Y
41852302,Y
77124485,Y
77125771,Y
41851502,Y
41851395,Y
41852401,Y
77124543,Y
77125763,Y
41851635,Y
41852583,Y
41851445,Y
41852484,Y
41851361,Y
41852385,Y
41851528,Y
41851247,Y
41852435,Y
41852575,Y
41851312,Y
41852203,Y
41851353,Y
41852351,Y
41851569,Y
41852518,Y
41852294,Y
77124469,Y
41852229,Y
77124444,Y
41852724,Y
41852252,Y
41852369,Y
41852674,Y
41852468,Y
41851551,Y
41852245,Y
41851320,Y
41852708,Y
41851486,Y
41851544,Y
41852633,Y
77124576,Y
41852526,Y
41852419,Y
41852278,Y
41852690,Y
41852377,Y
41851437,Y
77124568,Y
41852211,Y
77125722,Y
00662890,Y
41852286,Y
41851452,Y
41852336,Y
77125730,Y
77124527,Y
41851411,Y
41851346,Y
41852666,Y
41851601,Y
77125755,Y
41852625,Y
41852427,Y
41851296,Y
41852542,Y
77125706,Y
41851304,Y
77124501,Y
41852237,Y
77124477,Y
77125714,Y
41852534,Y
82141458,Y
82141300,Y
82141599,Y
82141383,Y
82141466,Y
82141508,Y
82141318,Y
82141417,Y
82141292,Y
82141557,Y
82141375,Y
82141573,Y
82141441,Y
82141540,Y
82141276,Y
82141284,Y
82141680,Y
82141664,Y
82141326,Y
82141334,Y
82141698,Y
82141482,Y
82141532,Y
82141524,Y
82141268,Y
82141359,Y
82141607,Y
82141490,Y
82141623,Y
82141342,Y
82141474,Y
82141631,Y
82141581,Y
82141706,Y
82141649,Y
82141615,Y
82141565,Y
82141367,Y
82141433,Y
82141409,Y
82141516,Y
82141672,Y
82141722,Y
82141391,Y
82141714,Y
82141730,Y
82141425,Y
82141656,Y
67604967,Y
66664145,Y
87918017,Y
84487412,Y
06706907,Y
85077980,Y
85078160,Y
84021351,Y
57293870,Y
87918462,Y
67371765,Y
84021385,Y
87918652,Y
87918488,Y
67604884,Y
66666389,Y
64455074,Y
84021237,Y
06706899,Y
57189458,Y
87918132,Y
02123081,Y
66664186,Y
85077832,Y
57293888,Y
67324764,Y
81891889,Y
67325886,Y
67372367,Y
87918025,Y
66664111,Y
84021104,Y
51602910,Y
66664269,Y
87918066,Y
66666447,Y
66666850,Y
02122919,Y
51263481,Y
66666991,Y
66666983,Y
66666470,Y
67325324,Y
06706949,Y
81891848,Y
66666694,Y
87918579,Y
66664137,Y
67324483,Y
51252609,Y
57189219,Y
04927067,Y
87918090,Y
84021484,Y
66666652,Y
66666710,Y
05957972,Y
66666702,Y
02122901,Y
66664236,Y
87918009,Y
57189318,Y
67372243,Y
67371682,Y
87918520,Y
87918215,Y
66666520,Y
51602860,Y
85077782,Y
06706865,Y
87918611,Y
85077873,Y
67605329,Y
67371641,Y
84021450,Y
85078277,Y
85078186,Y
87918124,Y
02122968,Y
85078194,Y
84487826,Y
85078004,Y
67605485,Y
67372326,Y
57189268,Y
67324244,Y
84021377,Y
57189227,Y
87918355,Y
67324525,Y
85078228,Y
66664442,Y
85078145,Y
84021138,Y
87918413,Y
67324400,Y
85077659,Y
85078103,Y
67323683,Y
67324327,Y
85077907,Y
85077758,Y
51252534,Y
67371609,Y
51602811,Y
66666744,Y
57189250,Y
57189102,Y
02123123,Y
85077964,Y
57189094,Y
87918041,Y
87918595,Y
87918660,Y
57189524,Y
67372201,Y
66664376,Y
84021534,Y
67325365,Y
66664020,Y
85078178,Y
87918058,Y
84021393,Y
45290210,Y
67324962,Y
87918710,Y
87918207,Y
66666736,Y
51602886,Y
85077949,Y
85078236,Y
06706873,Y
84021211,Y
45290012,Y
67324160,Y
84021187,Y
85077774,Y
85077733,Y
06707020,Y
66666637,Y
85077824,Y
66666975,Y
66666645,Y
87918264,Y
45290079,Y
84487925,Y
66664087,Y
67324129,Y
67325084,Y
70965827,Y
57189375,Y
02123669,Y
66666504,Y
51252617,Y
87918082,Y
66666835,Y
06706931,Y
45289972,Y
67325043,Y
41181843,Y
66664301,Y
66666678,Y
02123701,Y
87918447,Y
57189201,Y
67325209,Y
66666959,Y
87918256,Y
66664277,Y
66666801,Y
67323840,Y
84021286,Y
84021179,Y
85078012,Y
84021492,Y
66664335,Y
87918199,Y
84487461,Y
51252567,Y
66666884,Y
67371963,Y
02123016,Y
02123685,Y
66663972,Y
67605402,Y
67372565,Y
02123149,Y
67325480,Y
84487875,Y
57189110,Y
84021302,Y
45290038,Y
57189391,Y
57189136,Y
57189326,Y
02122943,Y
66663964,Y
85078210,Y
74982661,Y
66664004,Y
85077709,Y
06706956,Y
66666413,Y
06706998,Y
81891756,Y
87918223,Y
85077956,Y
67323642,Y
57189052,Y
67325241,Y
07437320,Y
84021203,Y
66664327,Y
67325761,Y
85077683,Y
64199326,Y
67323881,Y
84021518,Y
85077857,Y
84487917,Y
67325282,Y
51263473,Y
81891913,Y
02122877,Y
66664046,Y
87918777,Y
84021120,Y
66664343,Y
85078111,Y
67371849,Y
45290046,Y
84021435,Y
57189532,Y
67325803,Y
67604686,Y
66663907,Y
66664228,Y
84021161,Y
84021096,Y
66664103,Y
85077899,Y
61846622,Y
66666686,Y
57189573,Y
67605121,Y
02122976,Y
66664061,Y
85078137,Y
85077790,Y
81877086,Y
66666728,Y
85077717,Y
84021344,Y
06706964,Y
67371807,Y
74225889,Y
67324442,Y
57293805,Y
67324368,Y
02123040,Y
02122950,Y
57293847,Y
84021476,Y
66666967,Y
87918736,Y
67605006,Y
02123677,Y
66666934,Y
84021328,Y
51602829,Y
70965892,Y
66666876,Y
40044117,Y
06706857,Y
57293821,Y
85077931,Y
67324681,Y
57189565,Y
66666793,Y
84487701,Y
87918470,Y
02122992,Y
66469883,Y
66664459,Y
08909160,Y
66664152,Y
67325001,Y
67371922,Y
87918512,Y
84021336,Y
67323600,Y
67604926,Y
67372169,Y
67323808,Y
84021526,Y
67323766,Y
85077998,Y
87918363,Y
66666918,Y
67372284,Y
57189383,Y
66664202,Y
51252559,Y
45290095,Y
84021229,Y
02122869,Y
67325647,Y
66666579,Y
06707004,Y
45290020,Y
57189417,Y
66666488,Y
66666587,Y
67325688,Y
85078269,Y
05957956,Y
67605287,Y
70965900,Y
67324566,Y
61846705,Y
74195496,Y
67323527,Y
87918645,Y
81877102,Y
66666900,Y
66666843,Y
67325605,Y
67324848,Y
74226051,Y
66666538,Y
06706915,Y
87918140,Y
67372128,Y
67323964,Y
67323444,Y
67372045,Y
57189276,Y
67605089,Y
66663998,Y
85077667,Y
67324921,Y
84021419,Y
02122893,Y
87918744,Y
67605444,Y
67324723,Y
67324285,Y
67324087,Y
66666512,Y
85077816,Y
45290111,Y
67604728,Y
57189367,Y
51252542,Y
02123735,Y
06706923,Y
51263499,Y
67372003,Y
57189474,Y
66664400,Y
51252575,Y
84487891,Y
67324806,Y
06706972,Y
87918033,Y
66663915,Y
85077865,Y
02122885,Y
66666819,Y
57293904,Y
87918702,Y
02123727,Y
87918249,Y
51252583,Y
51602894,Y
74225921,Y
67604843,Y
57189482,Y
57189128,Y
02123156,Y
57293789,Y
67371724,Y
06707012,Y
57293771,Y
87918272,Y
84021500,Y
66664384,Y
67325720,Y
57189359,Y
84021559,Y
57189409,Y
02123032,Y
66666595,Y
67324004,Y
57189243,Y
02123115,Y
57189342,Y
67372086,Y
84021260,Y
87918108,Y
87918231,Y
02123057,Y
87918637,Y
84487750,Y
67605246,Y
02123719,Y
67605204,Y
66666553,Y
85077915,Y
66664095,Y
57189425,Y
66666660,Y
85078129,Y
87918561,Y
57189177,Y
66664285,Y
85078244,Y
87918587,Y
85078152,Y
66666751,Y
87918181,Y
57293920,Y
67372441,Y
87918496,Y
79075040,Y
66664392,Y
57293854,Y
66664418,Y
66664079,Y
85077840,Y
66663881,Y
67604801,Y
61858262,Y
66664178,Y
02123024,Y
02123065,Y
57189037,Y
84225515,Y
51252591,Y
02123099,Y
87918405,Y
02123131,Y
